"date","respiratory","Tmin","Tmax","dewT","Prcp","pm25_diff"
2009-01-01,77,6.70948145124647,9.58259264628093,6.33333329801206,0,19.1351278820341
2009-01-02,89,5.94844438411571,12.2055185459278,6.88348148487232,3.77777777777778,10.0136621852388
2009-01-03,77,3.77996299884937,10.7948148868702,0.248333331214747,0,7.93630476647259
2009-01-04,79,3.15881479227984,10.0958887736003,0.329888889635051,0,17.4949954434401
2009-01-05,64,6.60581486313431,8.29770374298096,5.03888889595314,0.648148148148148,12.9354408241024
2009-01-06,73,6.90966667952361,11.5570000542535,6.84711104852182,0,18.4806662154802
2009-01-07,57,6.64914819929335,10.3882592872337,6.10948144065009,0,25.7081107333771
2009-01-08,55,6.06318517967507,12.0685555140177,6.34585180989018,0,16.3570715892226
2009-01-09,55,5.37362964064986,14.9647407531738,1.24792593276059,0,15.9576304245034
2009-01-10,82,7.5621851461905,17.1016299636276,2.61237034532759,0,13.4572385546562
2009-01-11,58,7.47748157713148,17.1611852999087,3.65222223599752,0,24.0424531540933
2009-01-12,62,12.2553335119177,21.8941850309019,5.77099997908981,0,12.7664820015009
2009-01-13,54,10.6317777633667,21.1447404225668,5.21648140306826,0,13.0479232845615
2009-01-14,53,9.44170376106545,19.3198148232919,4.99181486059118,0,22.0023649450974
2009-01-15,49,9.7014444845694,20.7249627996374,3.94551851131298,0,19.8453707521285
2009-01-16,55,10.0487038647687,19.9307408509431,4.25051859573082,0,25.898133631843
2009-01-17,59,8.88814813119394,17.7546667876067,5.84844451480442,0,26.8176206371757
2009-01-18,75,9.48985198692039,18.7772594734474,4.73218525780572,0,23.9624523084401
2009-01-19,94,10.0450368810583,19.2024446416784,3.58755553210223,0,19.6669237407135
2009-01-20,71,9.72422200662119,19.0926669085467,4.35218512570416,0,21.9058740074918
2009-01-21,55,10.4700372483995,14.4126665680497,8.0785185319406,2.36296296296296,22.0206717794271
2009-01-22,53,10.1404442963777,12.7865927307694,10.801111291956,11.9740740740741,17.4084264101748
2009-01-23,39,10.8493704266018,12.5925555759006,11.6633703443739,3.65185185185185,16.9845836046489
2009-01-24,56,9.51170380910238,12.0334073525888,8.01381483784428,0.0333333333333333,8.69688216595509
2009-01-25,73,6.64574068563956,12.0162222120497,4.74766662385728,0,5.6821492302005
2009-01-26,56,5.63603701414885,12.0877779148243,1.21059260544953,0,5.55948588658598
2009-01-27,54,5.68511108115867,12.2919630121302,-1.35629631413354,0,12.1674834623281
2009-01-28,72,6.06455550370393,14.2389260398017,4.02899996439616,0,13.6221186629378
2009-01-29,60,8.03888886063187,18.3662220283791,3.18040745346634,0,16.3332545047205
2009-01-30,70,6.71159262127346,17.4342221860532,6.12292595262881,0,23.278998916502
2009-01-31,68,6.86814822090997,16.427666593481,6.56381483431216,0,15.2275124617733
2009-02-01,77,7.51611110899183,18.0667780416983,2.23000004556444,0,16.5715925928477
2009-02-02,79,8.22696300789162,17.6972589139585,6.80222219891018,0,19.5351350151705
2009-02-03,68,8.36148170188621,18.4834814424868,7.21829636891683,0,23.0597731849065
2009-02-04,65,7.59018520072655,16.3574071107088,6.9887037453828,0,19.008168318387
2009-02-05,57,10.4111110192758,13.8358146172983,9.38592603471544,3.94444444444444,6.78562564676515
2009-02-06,54,9.92077785068088,12.2066667698048,9.62118512612802,8.16296296296296,7.08533925988889
2009-02-07,77,8.61300005736174,14.6620371430009,7.28544452455309,2.04074074074074,7.93883712333762
2009-02-08,80,7.15900002585517,12.1147776709663,6.48196287508364,4.95925925925926,5.97276473160678
